time	Control	Speed_rpm	
1689.88	2900	1516	
1689.89	2900	1516	
1689.9	2900	1516	
1689.91	2900	1516	
1689.92	2900	1559	
1689.93	2900	1559	
1689.94	2900	1559	
1689.95	2900	1559	
1689.96	2900	1609	
1689.97	2900	1609	
1689.98	2900	1609	
1689.99	2900	1609	
1690	2900	1609	
1690.01	2900	1660	
1690.02	2900	1660	
1690.03	2900	1660	
1690.04	2900	1660	
1690.05	2900	1660	
1690.06	2900	1703	
1690.07	2900	1703	
1690.08	2900	1703	
1690.0900000000001	2900	1703	
1690.1000000000001	2900	1703	
1690.1100000000001	2900	1703	
1690.1200000000001	2900	1765	
1690.13	2900	1765	
1690.14	2900	1765	
1690.15	2900	1765	
1690.16	2900	1814	
1690.17	2900	1814	
1690.18	2900	1814	
1690.19	2900	1814	
1690.2	2900	1814	
1690.21	2900	1814	
1690.22	2900	1863	
1690.23	2900	1863	
1690.24	2900	1863	
1690.25	2900	1863	
1690.26	2900	1907	
1690.27	2900	1907	
1690.28	2900	1907	
1690.29	2900	1907	
1690.3	2900	1907	
1690.31	2900	1907	
1690.32	2900	1967	
1690.33	2900	1967	
1690.3400000000001	2900	1967	
1690.3500000000001	2900	1967	
1690.3600000000001	2900	1967	
1690.3700000000001	2900	2000	
1690.38	2900	2000	
1690.39	2900	2000	
1690.4	2900	2000	
1690.41	2900	2000	
1690.42	2900	2053	
1690.43	2900	2053	
1690.44	2900	2053	
1690.45	2900	2053	
1690.46	2900	2127	
1690.47	2900	2127	
1690.48	2900	2127	
1690.49	2900	2127	
1690.5	2900	2127	
1690.51	2900	2162	
1690.52	2900	2162	
1690.53	2900	2162	
1690.54	2900	2162	
1690.55	2900	2162	
1690.56	2900	2162	
1690.57	2900	2213	
1690.58	2900	2213	
1690.5900000000001	2900	2213	
1690.6000000000001	2900	2213	
1690.6100000000001	2900	2270	
1690.6200000000001	2900	2270	
1690.63	2900	2270	
1690.64	2900	2270	
1690.65	2900	2270	
1690.66	2900	2270	
1690.67	2900	2310	
1690.68	2900	2310	
1690.69	2900	2310	
1690.7	2900	2310	
1690.71	2900	2310	
1690.72	2900	2382	
1690.73	2900	2382	
1690.74	2900	2382	
1690.75	2900	2382	
1690.76	2900	2382	
1690.77	2900	2413	
1690.78	2900	2413	
1690.79	2900	2413	
1690.8	2900	2413	
1690.81	2900	2449	
1690.82	2900	2449	
1690.83	2900	2449	
1690.8400000000001	2900	2449	
1690.8500000000001	2900	2449	
1690.8600000000001	2900	2462	
1690.8700000000001	2900	2462	
1690.88	2900	2462	
1690.89	2900	2462	
1690.9	2900	2462	
1690.91	2900	2462	
1690.92	2900	2514	
1690.93	2900	2514	
1690.94	2900	2514	
1690.95	2900	2514	
1690.96	2900	2524	
1690.97	2900	2524	
1690.98	2900	2524	
1690.99	2900	2524	
1691	2900	2524	
1691.01	2900	2524	
1691.02	2900	2539	
1691.03	2900	2539	
1691.04	2900	2539	
1691.05	2900	2539	
1691.06	2900	2579	
1691.07	2900	2579	
1691.08	2900	2579	
1691.0900000000001	2900	2579	
1691.1000000000001	2900	2579	
1691.1100000000001	2900	2579	
1691.1200000000001	2900	2620	
1691.13	2900	2620	
1691.14	2900	2620	
1691.15	2900	2620	
1691.16	2900	2620	
1691.17	2900	2631	
1691.18	2900	2631	
1691.19	2900	2631	
1691.2	2900	2631	
