time	Control	Speed_rpm	
1730.08	2900	1477	
1730.0900000000001	2900	1477	
1730.1000000000001	2900	1477	
1730.1100000000001	2900	1534	
1730.1200000000001	2900	1534	
1730.13	2900	1534	
1730.14	2900	1534	
1730.15	2900	1534	
1730.16	2900	1569	
1730.17	2900	1569	
1730.18	2900	1569	
1730.19	2900	1569	
1730.2	2900	1569	
1730.21	2900	1621	
1730.22	2900	1621	
1730.23	2900	1621	
1730.24	2900	1621	
1730.25	2900	1621	
1730.26	2900	1621	
1730.27	2900	1658	
1730.28	2900	1658	
1730.29	2900	1658	
1730.3	2900	1658	
1730.31	2900	1658	
1730.32	2900	1717	
1730.33	2900	1717	
1730.3400000000001	2900	1717	
1730.3500000000001	2900	1717	
1730.3600000000001	2900	1717	
1730.3700000000001	2900	1765	
1730.38	2900	1765	
1730.39	2900	1765	
1730.4	2900	1765	
1730.41	2900	1765	
1730.42	2900	1822	
1730.43	2900	1822	
1730.44	2900	1822	
1730.45	2900	1822	
1730.46	2900	1863	
1730.47	2900	1863	
1730.48	2900	1863	
1730.49	2900	1863	
1730.5	2900	1863	
1730.51	2900	1863	
1730.52	2900	1907	
1730.53	2900	1907	
1730.54	2900	1907	
1730.55	2900	1907	
1730.56	2900	1907	
1730.57	2900	1967	
1730.58	2900	1967	
1730.5900000000001	2900	1967	
1730.6000000000001	2900	1967	
1730.6100000000001	2900	2006	
1730.6200000000001	2900	2006	
1730.63	2900	2006	
1730.64	2900	2006	
1730.65	2900	2006	
1730.66	2900	2066	
1730.67	2900	2066	
1730.68	2900	2066	
1730.69	2900	2066	
1730.7	2900	2066	
1730.71	2900	2066	
1730.72	2900	2089	
1730.73	2900	2089	
1730.74	2900	2089	
1730.75	2900	2089	
1730.76	2900	2155	
1730.77	2900	2155	
1730.78	2900	2155	
1730.79	2900	2155	
1730.8	2900	2155	
1730.81	2900	2209	
1730.82	2900	2209	
1730.83	2900	2209	
1730.8400000000001	2900	2209	
1730.8500000000001	2900	2209	
1730.8600000000001	2900	2263	
1730.8700000000001	2900	2263	
1730.88	2900	2263	
